ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
49494,гр.,Мъглиж,SZR,SZR22,SZR22-00,1,4,5,1901,SE,3155
49504,с.,Мъглища,SML,SML16,SML16-26,3,7,7,1901,S,3156
49518,с.,Мъдрево,RAZ,RAZ16,RAZ16-08,3,5,3,1901,N,3157
49521,с.,Мъдрец,KRZ,KRZ16,KRZ16-76,3,7,4,1901,S,3158
49535,с.,Мъдрец,SZR,SZR07,SZR07-07,3,6,3,1901,SE,3159
49549,с.,Мъдрино,BGS,BGS09,BGS09-00,3,8,3,1901,SE,3160
49566,с.,Мърводол,KNL,KNL31,KNL31-00,3,8,6,1901,SW,3161
49575,с.,Мързян,SML,SML11,SML11-03,3,8,7,1901,S,3162
49583,с.,Мъртвината,VTR,VTR13,VTR13-00,3,8,6,1901,N,3163
49597,с.,Мърчаево,SOF,SOF46,SOF46-33,3,5,7,1901,SW,3164
49607,с.,Мърчево,MON,MON04,MON04-09,3,6,3,1901,NW,3165
49624,с.,Мътеница,PDV,PDV37,PDV37-00,3,8,3,1901,S,3166
51010,с.,Навъсен,HKV,HKV29,HKV29-04,3,7,3,1901,S,3167
51024,с.,Надарево,TGV,TGV35,TGV35-22,3,6,3,1901,NE,3168
51038,с.,Надарци,SML,SML31,SML31-00,3,8,8,1901,S,3169
51041,с.,Надежден,HKV,HKV33,HKV33-12,3,7,4,1901,S,3170
51069,с.,Найден Герово,PDV,PDV33,PDV33-05,3,7,4,1901,S,3171
51072,с.,Найденово,SZR,SZR04,SZR04-12,3,7,5,1901,SE,3172
51086,с.,Нане,KRZ,KRZ14,KRZ14-26,3,8,5,1901,S,3173
51097,с.,Нановица,KRZ,KRZ21,KRZ21-14,3,5,5,1901,S,3174
51127,с.,Нареченски бани,PDV,PDV01,PDV01-14,3,4,6,1901,S,3175
51130,с.,Насалевци,PER,PER51,PER51-00,3,8,7,1901,SW,3176
51158,с.,Наум,SHU,SHU18,SHU18-08,3,6,5,1901,NE,3177
51161,с.,Научене,SLV,SLV16,SLV16-17,3,7,5,1901,SE,3178
51175,с.,Нацовци,VTR,VTR04,VTR04-00,3,8,4,1901,N,3179
51189,с.,Начево,SFO,SFO16,SFO16-00,3,8,6,1901,SW,3180
51192,с.,Небеска,KRZ,KRZ35,KRZ35-00,3,8,6,1901,S,3181
